shape_id,latitude,longitude,shape_pt_sequence,shape_dist_traveled
3S:767#23744#23777,-41.284141,174.7395268,334,7042.816710214588
3S:767#23744#23777,-41.28415913680508,174.73953189752157,335,7044.8758963153505
3S:767#23744#23777,-41.284141,174.7395268,336,7046.935082416113
3S:767#23744#23777,-41.284154,174.739481,337,7051.02273644196
3S:767#23744#23777,-41.284312,174.738963,338,7097.708871365974
3S:767#23744#23777,-41.284417,174.73861,339,7129.413472053158
3S:767#23744#23777,-41.284701,174.737556,340,7222.920483470874
3S:767#23744#23777,-41.2848315,174.7371397,341,7260.589348934469
3S:767#23744#23777,-41.28490242,174.737162,342,7268.687206117931
3S:767#23744#23777,-41.2848315,174.7371397,343,7276.785063301393
3S:767#23744#23777,-41.28487,174.737017,344,7287.888723502973
3S:767#23744#23777,-41.284882,174.736979,345,7291.330741123161
3S:767#23744#23777,-41.284985,174.736614,346,7323.890161653724
3S:767#23744#23777,-41.285104,174.736197,347,7361.140130687041
3S:767#23744#23777,-41.285229,174.735756,348,7400.5005010567975
3S:767#23744#23777,-41.285389,174.735209,349,7449.51865943399
3S:767#23744#23777,-41.2855048,174.7347743,350,7488.033505730297
3S:767#23744#23777,-41.28556869,174.7347914,351,7495.275703573005
3S:767#23744#23777,-41.2855048,174.7347743,352,7502.517901415712
3S:767#23744#23777,-41.285522,174.73471,353,7508.217950370291
3S:767#23744#23777,-41.285632,174.734339,354,7541.524065927483
3S:767#23744#23777,-41.28598,174.73317,355,7646.52691119689
3S:767#23744#23777,-41.28628,174.732145,356,7738.38629469802
3S:767#23744#23777,-41.286333,174.731955,357,7755.311018236992
3S:767#23744#23777,-41.286392,174.731707,358,7777.034296625905
3S:767#23744#23777,-41.2864428,174.7314573,359,7798.636849374142
3S:767#23744#23777,-41.28651938,174.7314729,360,7807.246600064268
3S:767#23744#23777,-41.2864428,174.7314573,361,7815.856350754394
3S:767#23744#23777,-41.286459,174.731378,362,7822.718118102901
3S:767#23744#23777,-41.286535,174.730981,363,7856.929597406817
3S:767#23744#23777,-41.286559,174.730833,364,7869.573173945245
3S:767#23744#23777,-41.286581,174.730637,365,7886.122178962234
3S:767#23744#23777,-41.286685,174.729878,366,7950.5493479332545
3S:767#23744#23777,-41.287457,174.73001,367,8037.049111627765
3S:767#23744#23777,-41.287667,174.729329,368,8098.519288013346
3S:767#23744#23777,-41.287798,174.729066,369,8124.868562098245
3S:767#23744#23777,-41.287891,174.728887,370,8143.041430721476
3S:767#23744#23777,-41.287925,174.728698,371,8159.270462783291
3S:767#23744#23777,-41.2879233,174.7286488,372,8163.384460716772
3S:767#23744#23777,-41.28800304,174.7286461,373,8172.249229067122
3S:767#23744#23777,-41.2879233,174.7286488,374,8181.113997417471
3S:767#23744#23777,-41.287909,174.728226,375,8216.455834447564
3S:767#23744#23777,-41.287917,174.727981,376,8236.933929213357
3S:767#23744#23777,-41.287933,174.727845,377,8248.428792005205
3S:767#23744#23777,-41.287953,174.727761,378,8255.787523563089
3S:767#23744#23777,-41.28798,174.727648,379,8265.688980077317
3S:767#23744#23777,-41.288072,174.727436,380,8286.13231509852
3S:767#23744#23777,-41.288236,174.727131,381,8317.450944518567
3S:767#23744#23777,-41.288315,174.726999,382,8331.542481546649
3S:767#23744#23777,-41.288355,174.726933,383,8338.62250600318
3S:767#23744#23777,-41.288438,174.726794,384,8353.44814800435
3S:767#23744#23777,-41.288509,174.726714,385,8363.786399395876
3S:767#23744#23777,-41.288556,174.726688,386,8369.442052300188
3S:767#23744#23777,-41.288592,174.726679,387,8373.512048990677
3S:767#23744#23777,-41.288633,174.726684,388,8378.087107190939
3S:767#23744#23777,-41.288691,174.726697,389,8384.62366357165
3S:767#23744#23777,-41.288744,174.72673,390,8391.127081303497
